uid	SPScenario	Choice	DrvLic	PblcTrst	AgeGrp	Empl	Edu	Nveh	Nadlt	Nchld	Income	Car_Cost	CarRental_Cost	Bus_Cost	Plane_Cost	Train_Cost	TrH_Cost	Car_TT	CarRental_TT	Bus_TT	Plane_TT	Train_TT	TrH_TT	CarRelib	CarRentalRelib	BusRelib	PlaneRelib	TrainRelib	TrHRelib	AV_Car	AV_CarRental	AV_Bus	AV_Plane	AV_Train	AV_TrH	
1545	2	5	1	0	3	2	2	1	0	0	2	0.96	2.36	1.1	2.13	0	1.8	7.500	7.500	10.167	5.167	0.000	15.467	0.9	0.9	0.85	0.9	0	0.9	1	1	1	1	0	1	
1546	1	4	1	1	2	0	1	1	1	1	2	1.3	2.31	1	2.5	0.74	1.25	7.750	8.500	10.167	5.100	9.117	11.667	0.9	0.75	0.6	0.85	0.85	0.99	1	1	1	1	1	1	
1547	2	0	1	1	2	0	1	1	1	1	2	1.18	1.78	0.8	2	0.92	1.75	8.500	7.750	11.167	5.367	11.750	14.283	0.75	0.9	0.75	0.9	0.9	0.95	1	1	1	1	1	1	
1548	3	2	1	1	2	0	1	1	1	1	2	1.65	2.85	0.64	1.6	1.15	1.5	7.000	7.000	12.167	4.850	14.367	12.717	0.85	0.85	0.85	0.7	0.75	0.9	1	1	1	1	1	1	
1549	2	5	0	1	3	2	0	0	1	0	1	0.67	0	0.43	0	0	1.5	7.500	0.000	11.283	0.000	0.000	12.167	0.85	0	0.6	0	0	0.9	1	0	1	0	0	1	
1550	3	5	0	1	3	2	0	0	1	0	1	0.74	0	0.54	0	0	1.8	6.667	0.000	18.033	0.000	0.000	13.267	0.75	0	0.75	0	0	0.95	1	0	1	0	0	1	
1551	1	5	0	1	3	2	0	0	1	0	1	0.94	0	0.67	0	0	2.1	7.083	0.000	14.667	0.000	0.000	14.917	0.9	0	0.85	0	0	0.99	1	0	1	0	0	1	
1552	1	5	1	0	1	0	1	1	0	0	2	0.94	2.03	0.54	0	0	1.8	6.667	7.500	11.283	0.000	0.000	13.267	0	0	0	0	0	0	1	1	1	0	0	1	
1553	3	5	1	0	1	0	1	1	0	0	2	0.74	1.65	0.67	0	0	1.5	7.500	6.667	18.033	0.000	0.000	12.167	0.75	0.75	0.85	0	0	0.9	1	1	1	0	0	1	
1554	2	5	1	0	1	0	1	1	0	0	2	0.67	1.27	0.43	0	0	2.1	7.083	7.083	14.667	0.000	0.000	14.917	0.85	0.9	0.75	0	0	0.95	1	1	1	0	0	1	
1555	1	3	1	1	2	0	0	1	1	0	2	1.18	2.31	0.64	2.5	0.74	1.5	7.000	8.500	12.167	5.100	9.117	12.717	0	0	0	0	0	0	1	1	1	1	1	1	
1556	3	3	1	1	2	0	0	1	1	0	2	1.3	1.78	0.8	2	1.15	1.75	8.500	7.750	10.167	5.367	14.367	14.283	0.85	0.9	0.85	0.7	0.9	0.95	1	1	1	1	1	1	
1557	2	5	1	1	2	0	0	1	1	0	2	1.65	2.85	1	1.6	0.92	1.25	7.750	7.000	11.167	4.850	11.750	11.667	0.75	0.85	0.75	0.85	0.75	0.9	1	1	1	1	1	1	
1558	1	5	1	1	1	0	1	2	2	0	3	1.18	2.85	1	2.5	0.92	1.25	7.750	7.750	11.167	5.367	11.750	11.667	0	0	0	0	0	0	1	1	1	1	1	1	
1559	3	5	1	1	1	0	1	2	2	0	3	1.65	2.31	0.64	2	1.15	1.75	8.500	8.500	12.167	5.100	14.367	14.283	0.9	0.85	0.85	0.9	0.85	0.99	1	1	1	1	1	1	
1560	2	5	1	1	1	0	1	2	2	0	3	1.3	1.78	0.8	1.6	0.74	1.5	7.000	7.000	10.167	4.850	9.117	12.717	0.85	0.9	0.6	0.85	0.75	0.9	1	1	1	1	1	1	
1561	1	5	1	0	2	0	1	2	2	0	2	0.87	1.47	0.88	3	0	1.5	6.500	6.500	11.167	4.933	0.000	14.167	0	0	0	0	0	0	1	1	1	1	0	1	
1562	2	5	1	0	2	0	1	2	2	0	2	0.96	2.36	1.1	2.66	0	2.1	7.500	7.500	10.167	5.167	0.000	17.417	0.85	0.85	0.85	0.9	0	0.9	1	1	1	1	0	1	
1563	3	5	1	0	2	0	1	2	2	0	2	1.22	1.92	1.38	2.13	0	1.8	5.500	5.500	10.667	4.717	0.000	15.467	0.75	0.9	0.75	0.85	0	0.9	1	1	1	1	0	1	
1564	3	5	1	0	1	0	1	2	1	0	3	1.3	2.85	0.64	2.5	0.74	1.5	7.750	7.750	12.167	4.850	9.117	12.717	0.75	0.85	0.6	0.9	0.85	0.99	1	1	1	1	1	1	
1565	1	5	1	0	1	0	1	2	1	0	3	1.65	1.78	0.8	2	0.92	1.75	7.000	8.500	11.167	5.367	11.750	14.283	0.85	0.75	0.75	0.7	0.75	0.9	1	1	1	1	1	1	
1566	2	5	1	0	1	0	1	2	1	0	3	1.18	2.31	1	1.6	1.15	1.25	8.500	7.000	10.167	5.100	14.367	11.667	0.9	0.9	0.85	0.85	0.9	0.95	1	1	1	1	1	1	
1567	2	3	1	0	1	0	1	1	1	0	3	1.22	2.36	0.88	3	0	1.8	5.500	6.500	10.667	4.717	0.000	15.467	0.9	0.75	0.6	0.7	0	0.9	1	1	1	1	0	1	
1568	3	3	1	0	1	0	1	1	1	0	3	0.96	1.47	1.1	2.66	0	2.1	7.500	7.500	11.167	5.167	0.000	17.417	0.75	0.9	0.85	0.9	0	0.9	1	1	1	1	0	1	
1569	1	3	1	0	1	0	1	1	1	0	3	0.87	1.92	1.38	2.13	0	1.5	6.500	5.500	10.167	4.933	0.000	14.167	0	0	0	0	0	0	1	1	1	1	0	1	
1570	1	5	0	1	3	2	1	0	0	0	1	0.94	0	0.54	0	0	2.1	7.500	0.000	14.667	0.000	0.000	14.917	0	0	0	0	0	0	1	0	1	0	0	1	
1571	3	5	0	1	3	2	1	0	0	0	1	0.74	0	0.67	0	0	1.8	6.667	0.000	11.283	0.000	0.000	13.267	0.75	0	0.75	0	0	0.95	1	0	1	0	0	1	
1572	2	5	0	1	3	2	1	0	0	0	1	0.67	0	0.43	0	0	1.5	7.083	0.000	18.033	0.000	0.000	12.167	0.85	0	0.6	0	0	0.99	1	0	1	0	0	1	
1573	2	2	1	0	2	0	1	1	1	0	1	1.3	1.78	0.8	2.5	1.15	1.75	7.750	8.500	10.167	4.850	14.367	14.283	0.9	0.9	0.85	0.85	0.75	0.99	1	1	1	1	1	1	
1574	3	2	1	0	2	0	1	1	1	0	1	1.18	2.31	1	2	0.74	1.5	7.000	7.750	11.167	5.100	9.117	12.717	0.75	0.75	0.75	0.7	0.85	0.9	1	1	1	1	1	1	
1575	1	2	1	0	2	0	1	1	1	0	1	1.65	2.85	0.64	1.6	0.92	1.25	8.500	7.000	12.167	5.367	11.750	11.667	0.85	0.85	0.6	0.9	0.9	0.95	1	1	1	1	1	1	
